,full_text_with_emoji,label
33,මම මැරුනොත් තව කෙනෙක් ජිවත් වෙන්න පුලුවන් දැන් :smiling face: httpstcoYDBIXFdwOR,0
34,NisaliPathirana Ex කරනවා අැති textඔයාගේ යාලුවා best:grimacing face::face with hand over mouth:,0
35,බීලා ඉවර වෙලා යකා නැග්ගොත් අනිකගෙ ඔලුව පලන්න මරු භාණ්ඩෙ මේක :face with tears of joy: httpstcoQhJyNXZ2El,0
36,"මේ කාලකන්නි එකාට කව්රු හරි කියල දෙන්න මේක අර පොන්න tik tok එක වගේ නෙමෙයි කියල
2million likes රෙද්ද ගහගනින් තොගේ පුකේ
මේක අපි සතුටින් ඉන්න තැන 
මෙතෙන්ට ඇවිල්ල රෙන්න එපා ප්ලීස්
කරුණාකරලා මේකෙන් යනවා යන්න
උඹලා twitter එකට නෙමෙයි මේ රටටත් පිලිල පිළිකා
teenlovers18 httpstcoeBwMbM5H7R",1
37,nirodhanews ගොන් පකයා පරීක්ෂා කරේ මොනවද කියලා දන්නෙම නෑ නේ පකෝ ඒවා හොයද්දි නීති විරෝධී ගිනි අවියක් ලඟ තිබුණම හුරතල් කරන්නද පකෝ කියන්නේ අනිත් එක සක්කිලි කාලකන්නි බල්ලෝ මේකට මොකක්ද පකෝ ජනාධිපති තුමාගේ සම්බන්ධය,1
38,"කොල්ලෙක් තමන් යාලුවෙලා ඉන්න කෙල්ලෙක්ගෙ Naked පොටෝ එකක්  පිට අයට පෙන්නනවා කියන්නෙ

ඌ මොන වගේ එකෙක්ද
Help",0
39,"Rusiiiru happy birthday ඇල්පිටියේ සුපිරි රුසිරු :fire:
LKBDays",0
40,priyanthim123 AyNaGsEuL101 DamuthaH dadbad770 priyanthim123 බොහොම ස්තූතියි සහෝදරීගෙ අදහසට ඔව් අම්මා සාමාන්‍යයෙන් තරමක් වෙලාව අරගෙන තමයි මේ චිත්‍ර අම්මා අඳින්නෙ සුබ පැතුවටත් ගොඩක් ස්තූතියි,0
41,බැල්ලි :unamused face:,1
42,අපේ වත්තෙ ගහක ඕකෙක් බිව්වා නම් තමයි පියාණන් ට නියම සත්ව කරුණාව පහළ වෙන්නෙ :rolling on the floor laughing:,0
43,ManamperiRandil ඒවා කොහෙද අපේ තාත්තා එක්ක:crying face:,0
44,ලෑටි පුකා ChildhoodNicknamesLK,1
45,"BathiyaWeerase4 lsuruSLfirst අප්පට හුකලා තියෙන්නෙ ඇයි තෝ RT කරාට පස්සෙ බලා ගන්නම් කියන්නෙ බලාගෙන අතේ ගහන්ඩද පොන්න පකයා ලැජ්ජයි හුත්තො ඔච්චරම අමාරු නම් ගස් ලබු ගෙඩියක ඇස්ස කපල ගහ ගනින් පයිය එකේ ඒත් එක්කම වැටකොළුවක් ගහගනින් පුකේ

TeamWatakolu",1
46,"සල්ලි තිබ්බට මොලේ නැති කාලකන්නියෙක් බලු වැඩ බන් මේවා 

HC 7363 httpstcoKYM4jIMQFk",0
47,ශ්‍රීපාද කරුණාව :smiling face: httpstcoMCW0K7dCoD,0
48,"දවසේ ප්‍රශ්නය

මම ඔයාට ආදරෙයි කියලා එයා කියපු පළමු අවස්ථාව ඔයාට දැනුණු ආකාරය ඔයාට මතකද :winking face:",0
49,"WindDesika උබ කෙලෝ
ගනින් පයිය
කොට තම්බින්ට
කියලා හුත්තියෝ",1
50,mysterytweep clarence wijewardena unplugged එක බලන්න නියමයි ඒක,0
51,ShanadiJ Wow නියමයි කෙල්ල දස්සයා,0
52,අඩෝ බොක්ක උඹෙ නම මොකක්ද,0
53,Rasikalink කුරුඳු කෝටු තිබ්බෙ නැද්ද,0
54,"සිරකරුවෝද මනුශ්‍යයෝය 
මෙය වැලිකඩ තාප්පයේ ලීවේ  කවුදැයි මා නොදනිමි

එසේම එහි VIP සිරකරුවෝ යන්න මගහැරුනේ කෙසේදැයි මා නොදනිමි

මන්ද දුමින්ද සිල්වා වෙනුවෙන් පහල වූ සත්ත්ව කරුණාව ManoGanesan  මහතාට අනිකුත් සිරකරුවන් වෙනුවෙන් මෙපමණ කාලයකට පහල නොවීම විහිළු සහගතය",0
55,bebaalka අඩෝ:face with tears of joy::face with tears of joy: දන්නෙත් නෑ හැපි ම හැපි හෙලුකුට්ටන් ඩේ එකක් වේවා :smiling face with heart-eyes::smiling face with heart-eyes: ආදරෙයි අහස තරම්  ආවාම පාටි දීපං:red heart:,0
56,IsuriUdeshika So ලස්සනයි ඒයී,0
57,ushan93ukkun දෙකම බැලුවා :smiling face with heart-eyes:,0
58,"ThilinaPrasang4 ශෝකාකුල අවස්ථාවක 
දක්ෂ කලාකරුවකුගේ නිර්මාණාත්මක ඉදිරිපත් කිරිමක් 
මියගිය සොහොයුරාට නිවන් සැප
ලැබේවා 
:sad but relieved face::sad but relieved face::sad but relieved face::sad but relieved face::sad but relieved face::sad but relieved face:",0
59,"මේ කථාව ටිකක් නිවැරිදි වෙන්න ඕනේ

අද සමාජයේ ගැටළු වලට ප්‍රධාන හේතුව කරුණාවමෛය්ත්‍රීය සහ ප්‍රඥාව මත පදනම් වූ දහමෙන් මිනිසුන් ඈත් වී 

මුලාවද්වේශය හා බිය මත පදනම් වූ ‘ආගම්‘ නැමති පුරාණ දේශපාලන ලණු වලට මිනිසුන් ලං වීමයි

අපි ඇත්ත කථා කරමු

LKA srilanka",0
60,ඒ කාලේ ඉතින් මේ ඇක්ශන් එක එහෙම දාලා ෆේස්බුක් එකේ ෆොටෝස් අප්ලෝඩ් කරා :smiling face with tear::face with tears of joy::heart suit: BoltFever,0
61,Banz ගෙදර මල් පෝච්ච් ටික  :broken heart:,0
62,"ප්‍රශ්නය  තෙත් කළාපයේ පස් කෙබඳුද

ගෝඨා ඔව්කෙබඳුයි  :face with tears of joy::face with tears of joy::face with tears of joy:",0
63,slgprs ThishD sitharadil කවුද බන් මේ වේසි,1
64,MaaluPaan පොඩ්ඩක් හිටපන් පකෝ කුනුහර්පයක් කිව්වත් වචන ටික ගළපලා කියපන්කියන්නම් වාලේ රබර්වත්තේ දීපිකා වේසි කියනව වගේ තේරුමක් නැති විදියට කෑ ගහන්න එපාවූෆි උබට ඇනලා සල්ලි නොදී ගියා වගේනේ හැමනෙන්නේ,1
65,Laksh268 DpHarischandra ඒ වගේ නෙහ් :face with tears of joy::face with tears of joy:,0
66,indika27 :rolling on the floor laughing::rolling on the floor laughing::rolling on the floor laughing::rolling on the floor laughing: රංජන්ගේ ස්ටයිල් එක වෙනස් බබාහ්,0
67, ආදරය කියන්නේවිදීම්විදවීම් අපට උගන්වන හොදම ගුරුවරයා ,0
68,duliponline ආදර සුදු ටීච කියලා ලියලා දැම්මනම් අහරවයිනේ  කෙල්ලගෙන් අහයි කවුද ලිව්වේ තාත්තා කියයිවැඩේ ගොඩ එක ගලෙන්:smiling face with smiling eyes::smiling face with smiling eyes::smiling face with smiling eyes::smiling face with smiling eyes:,0
69,"ආයේ ගේ ගාවට වෛරස් එක ආවා කට්ටියක් ඒ ගෙදර වාහනෙන් හයර් එකක් ගිහින් හයර් එක ගිය අයගෙන් වෛරස් එක ඇවිත් :pensive face:
COVID19",0
70,rozairownzIN අඩෝ :sleepy face:,0
71,sasankachamith SupunTharaka1 වදුරැ කරදරේ :face with tears of joy::face with tears of joy:,0
72,"යුද සමයෙත් බෝම්බ පිපිරුණානමුත් පාසල් පැවැත්වුවා
විස්තර මෙතැනින් httpstcoBKoH2NeNoW

adaderana adaderanasinhala adaderananews news srilankannews srilanka httpstcoH8TR3EFZym",0
73,"BustySnowball thamindu ගබ්සාව නීතිගත කරන්න බැරි නම් ඒක පවුකාර කමක් නම් Single parent concept එකට තැනක් තියෙන්න ඕන 

නැත්නම් වෙන්නේ ඉපදෙන අහිංසකයාට අවජාතක ලේබලයක් ගහනවා විතරක් නෙවෙයි අර අහිංසක අම්මා ට වේ කියලා කියලත් කියනවා",0
74,lankansexylucy කැරි වේසි,1
75,"Iampaala යෂ්ටිය මතුරනවා ඇති 
:face with tears of joy::broken heart:",0
76,AkilaSilva8 :smiling face with heart-eyes::smiling face with heart-eyes: නියමයි ඉක්මන්ටම පටන්ගන්න ලැබෙන්න කියල ප්‍රාර්තනා කරනවා :red heart:,0
77,SKathriarachc ෂාකෙල්ල ආයේ කෙට්ටු වෙලාඒකට අපේ ඇඟවල් :grinning squinting face::grinning squinting face::grinning squinting face::grinning squinting face:එහා ගෙදර අය කෑවත් මාව මහත් වෙනෝ:smiling face with heart-eyes::smiling face with heart-eyes:,0
78,Disapamok වේසි :face with tears of joy:,1
79,BathiyaWeerase4 තෝ වටේටම දෙනව කියල නෝන්ඩි උනා නේද බං හරි හරි චීත්තෙ කිය කිය හිටපං දැන් මොනව උනත් පව්නෙ උබ ඒත් තෝ පොන්නයෙක් බොල,1
80,දරුනුයි කියන වන මුර්ගයොත්ආදරයකරුනාවඉදිරියේ හීලැ වෙනවා කියන්නේ බොරු නෙමෙයි :smiling face with hearts: httpstcoZryXbfMQek,0
81,"කල මෙම අති දක්ෂ වෛද්‍යවරයා කොවිඩ් 19 වෛරසයට බිලිවිය එම සැත්කමට ඔහුගේ සහයට තවත්වෛද්‍යවරු 40 ක් එක්විය මින් පෙර 2016 දී පිලිපීන ජාතික Carl සහ Clarence Aguirre යන නිවුන් දරුවන් ද සැත්කමකින් වෙන් කිරීමේ ගෞරවයද හිමි වන්නේ මෙම වෛද්‍යවරයාටය 

Copied
httpstcoeYCVYql5KV",0
82,"ඉස්සරනම් ඉරිදා නියමයි
දැන් චොර",0
83,deadmanscreed අඩෝ :confused face:,0
84,මුං මම ඉගෙන ගන්න රටට බනිද්දි හරි වේදනයි අනිත් රටවල් ලංකාවට හරි ආදරෙයි වගේ කතා කරන්නෙ :confused face:,0
85,mysterytweep සැනසිල්ලෙ මැරුනෑකිආදරෙයි මූද තරම්,0
86,rozairownzIN කොන්ඩේ නැති කෙල්ලොත් ලස්සනයි :full moon face:,0
87,800 වෙනියට ආදරෙයි,0
88,maalupaan නැ බං හොයාගන්න ඒවා තිබ්බා නං තමා ideal ආ කුරුදු flavor එකත් kebab එකට වැදුනා නං සුපිරි :drooling face:,0
89,Induweerasingh1 :beaming face with smiling eyes::beaming face with smiling eyes::beaming face with smiling eyes:නියමයි,0
90,RohanAnuruddha6 ඕනේ නෑ ඒ හුත්ති ෆේක් වලින් මෙව්වා බලන් ඉන්නවා :face with tears of joy::face with tears of joy::broken heart: ටිකකින් එයි ෆේක් සෙට් එකම අරගෙන,1
91,"Nowuseemeeee noodles1191 රටේ ආරස්සාව ගැන මුන්ගෙන් මොනව අහන්නද
පොන්නයොන්ගෙන් ඇහුවම කියයි
ඔක්කොම හරි කියල 
රට පොන්නයො ආන්ඩු කරහම
ඔහොම වෙනව
ආන්ඩුවෙ ඉන්නෙ ඔක්කොම  පොන්නයෝ",1
92,Ex දැන් මොනවා කරනවා ඇද්ද:woozy face:,0
93,NisalAkalanka1 BasnayakageGopi මම බ්ලොක් කලා බං කලින්ම දැන් ඌ විකාර කියෝනවා,0
94,dulakshig කෝලි බබා,0
95,Orubadiwava YouthCenter dancing group මහියංගණයේ දක්ෂ දරුවෝ httpstcoItOLVbcqQp via YouTube,0
96,25ShadesOfBrown NadeeManikkage Apo කැරියා Neme Methiyenne Ane,1
97,"ItsMeKande පෝලිමේ පැය 5ක් අම්මා එක්ක හිටපු නිසා මමත් card එක fill කරන් ගිහින් ඇහුවා vaccine එක දෙන්න පුළුවන්ද කියලා
හරවලා එව්වා අම්මට විතරක් vaccince එක දීල :grinning face with sweat:",0
98,Indrajithonline ගාරි හුත්ති:unamused face:,1
99,අමනුෂ්‍ය තරුණිය ගුරුවරයා වැළඳ ගනීඅමනුෂ්‍යයන් විශ්වාස කරන මම මුහුණදුන් ත‍්‍රාසජනක සිදුවීමක් httpstcoghpEYC7CUp,0
100,"අර CTB කාරයන්ගේ  Siraj කියන එකා ලංකාවේ ඉන්න Iraj වගේ උට වැඩකුත් නැ බලන් ඉන්න අපිට වැඩකුත් බොරුවට කෑගහනවා  :smirking face:

IPL2021",0
101,ItsDonPeter ගෙදර යාගන්න පුලුවන් උනානන් මේ හයසීයත් ඉතුරුයි බන් :grinning face with sweat:,0
102,මුලු ටයිම්ලයින් එකේම පොන්නයො සෙට් එක ගෑණු මූණු දාගෙන හැමිණෙනවා නොදකිං උන්ගෙ අප්පල සරමෙ පිහදගත්තනම් ඔයිට වඩා හොඳයි,1
103,"ගෙදර හිටපු අන්තිම බලු පැටව් දෙන්නත් පන්සලට ගිහින් දැම්මා
:broken heart::broken heart::pensive face:
දැන් ගෙදරම පාලුයි :broken heart:",0
104,shankithewitch JayaniFdo Spacewalkerlive SedonaB nipunad මගේ සත්ත්ව කරුණාව,0
105,DilanthaShamal එහෙම හුකන්න බෑනේ මේකේ ලඟින් ගියොත් අපි දාගන්නවා අපි එහෙමයි තෝ පුක නොදී පලයං :middle finger: dark skin tone::face with tears of joy:,1
106,තායිලන්තය බටහිර අධිරාජ්‍යයකට යටත්වෙලා උන්නෙ නෑ කියලා දැනගත්තෙ මේ ලඟදි ඒකට හේතුව තායිලන්තය යුධමය වශයන් ශක්තිමත් වීම නෙමේ දක්ෂ රාජතාන්ත්‍රිකභාවය,0
107,"අඩෝ චමතගෙ පස්සෙ කැරකෙන්නෙ කාගෙ ෆේක් එකද 
:face with tears of joy::broken heart:",0
109,"MiyuruhansiS kazZtr toGetBaked එයාගේ range hood එක strong නම් ලිප ගාව ජනේලයක් තියෙනවා නම් විතරක් ගෙදර දොරවල් වහලා කරන්න වෙන්නේ මේක

ගෙදර පුරාම සැර සුවඳක්  ගඳක් පැතිරිලා යන්න පුළුවන් 

මං නම් marinate කරලා කිරට තමයි මිරිස් දාන්නේ",0
110,මට සෙට් උනේ අවුරුද්දෙ අප්‍රේල් වගෙ පාරේ ඉන්න තුන් දෙනෙක් :beaming face with smiling eyes::beaming face with smiling eyes::beaming face with smiling eyes: කොවිඩ් පටන් අරන් ගෙදර හිටිය කාලෙ :red heart::red heart::red heart: පට්ට ඉතිං එයාලා හින්දා කිසිම කම්මැලි කමක් තිබ්බෙ නෑ :woozy face::woozy face::woozy face: දැන් නම් ඇණයක්,0
111,I added a video to a YouTube playlist httpstcoHeNyLTml2L මට හුකන්න ඕනෙනම් මන්ගාවට,1
112,"කොන්රාඩ් මිනිස් චරිත පිළිබඳ දක්ෂ නිර්මාණකරුවෙකි ඔහුගේ චරිත නූතන ජීවිතයේ හුදෙකලා වීමට හා සදාචාරාත්මකව පිරිහීමට ඇති හැකියාව පෙන්නුම් කරයි
httpstco2cNOzydJkc httpstcoB7hvGesac7",0
113,100යි නියමයි නිස්සංක :smiling face with heart-eyes: WIvSL,0
114,imtutuu Mung la happila marennethdha tiper ekata wath පිස්සු මොඩ බැල්ලි ටික,1
115,සමහර ටුයිටර් වලි දකිද්දි මතක් වෙන්නෙ ඉස්සර ඩික්මන් පාරෙ පොන්නයො රන්ඩුවෙන හැටි,1
116,nam3chang3d daughterislife ඒක මචං එක එක ලව් ස්ටෝරි අනුව වෙනස් වෙනවා ඔන්න උබේ එකෙ කෙල්ල අපි මේක නවත්තමු කියලා හේතු දීලා ගියා නන් එතන අනේ මේකී මෙහෙම හරි කිවිවානෙ කියන්න පුළුවන් :new moon face::broken heart:,0
117,කෙල්ලෙක්ගේ බුරිය දැක්කම හුකන්න හදන කොල්ලො ඉන්න රටකට මොන අනාගතයක්ද බං,1
118,"thnsameera තව තව එල්ලි 
පලයන් බැල්ලි ",1
119,shankithewitch පැත්තක දාන ගයත්‍රිව හොරෙන්ම අරං එන්ඩෝනි,0
120,"rishi ඔක්කොම කියෙවුව 

ඔය ඔහොම නෙවෙයි ඔලුවෙන් හිටන් කුරානයේ හොඳ දේ මේකේ මොන තරන් දිගහරින්න හැදුවත් වැඩක් වෙන්නේ නෑ 

සෞදිය විසින් කුරානය ලොව පුරා තහනම් කරනවා කියා breaking news එකක් යැවුවොත් අන්න එදාට තමයි මේ ලෝක සත්වයාම මේ ශාපයෙන් පාපයෙන් ගැලවෙන්නේ 

ලෝකේ වැඩිම පිරිසක් වෛර කරන:backhand index pointing down:",0
121,ආදරෙයි ඈ :smiling face with heart-eyes::smiling face with heart-eyes::smiling face with heart-eyes::smiling face with heart-eyes::orange heart::red heart::folded hands:,0
122,යකෝ ජෙරියා මෙහෙම එකෙක් කියලා මම හිතුවේ නෑ වනචාර මිනිස්සු මහ,0
123,DailymirrorSL ඔය බල්ලො බැලියන් නටන්නේ දෙමාපියන්ගේ හයියෙන් නීතිය සාදාරණව ඉශ්ට වෙයි කියලා හිතන්න අමාරුයි තූ නොදකිං ගොං වේසි,1
124,Sansajran ගුරුවරු දඬුවම් කරපු නිසාතමයි සමාජෙ ගරුත්වයෙන් ඉන්නේ,0
125,RakzzMaduOnline ඔයා තාත්තා කෙනෙක් වෙන්නේ නැද්ද ඉතින්,0
126,ThashukiMendis MihirangaFdo මේ පොන්න හුත්තල ආමි එකේ කොල්ලො ටිකත් නොන්ඩි කරනව පොන්නයොත් ඉන්නවමුන් ඇවිල්ල රාජ පොන්නයො,1
127,WindDesika මාරම ලස්සනයි නංගී :bouquet::bouquet:,0
128,"උදේම
අයියේ අයියා MSc එකට research එකක් කලාද 
මම  ඔව්
මොකක් සම්බන්ධයෙන්ද
මම AI based eVoting validation 2018 
නියමයි මට පුළුවන් ඕක පිච් කරන්න අයියේ මට research එකේ final report එක එවන්නකෝ
මම ලක්ෂ 5 එවන්න මට ඒ කාලේ ඩිග්රී කොර්ස් එකට ගිය සල්ලී
End",0
129,AkilaDias92 ඔයාට පොන්නයො දැක්කම කෙලින් වෙනවාද  අපිට නම් නැ:face with tears of joy: ඒ නිසා බෙහෙත් ඕන නැ,1
130,PrasadSandun1 ඇත්තටම ලස්සනයි ,0
131,"ලිසා මෙනවිය
වයස මාස 6ක්
Sterilized පිලිසිඳ ගැනීම් රහිතය 
සෙල්ලමට දඩයමට දක්ෂ අතර මේවන විට පරවියන් තිදෙනෙකුට පහර දි ඇත
ස්වාමි පවුලට ඉතා ලැදිය httpstcolV2N1tqVth",0
132,anuwa01 වරෙන් පෙන්නන්න,0
133,ItsDonPeter SamadhiDilruks2 unknownlankan ItsMeKande PT ගුරුවරයා තමයි ඔයා,0
134,"MaheshNegombo අතිං පයිං වේවැල් වලින් ගහන්ඩ කතා කරල අන්තිමට ඒකත් කයිය විතරක් වෙන උන්ගෙ උදාන වාක්‍ය තමා බං  උබ වගේ එහෙකුට ගහල වැඩක් තියෙනවද  වගේ ඒව:face with tears of joy::face with tears of joy:

පටං ගත්තෙ පොලිටික්ස් සම්බන්ද දේකින් දැන් ගෑණු ගැනත් කියනව නේහ් ඉතිං බං මම පොර උනත් නැතත් උබට මොකද බලාගෙන ඉන්න අමාරුනම් බ්ලොක් කරපං:face with tears of joy:",1
135,ItzZena මට දානයක් දෙන්න තියෙන්නෙ:face with tears of joy::broken heart:,0
136,imNaviya මෙහේ කන්‍යාවියෝ හොයාගන්න නැති නිසාද එහෙම කරන්නේ එයාලා :face with tears of joy:,0
137,දවස් තුනකට කලින් මැරුණ කෙනාගෙම ගෙදර කෙනෙක් ඊයෙත් මේ ලිස්ට් එකට එකතු වෙලා,0
138,"රවියා නිදැල්ලේ
හරියා බදුල්ලේ
දයා රෝහලේ
පකයා බොරැල්ලේ:victory hand:",1
139,"වැටලොලු කන්දෙ කැරියා :face with tears of joy:

TeamAanamalu",1
140,iamAStr අඩෙහ් ඔයත් දැම්මදලස්සනයි හොදේ:face with tears of joy::monkey:,0
141,rathmayaka piumalikavitha එහෙනම් මාත් ආදරෙයි කීව කියහන් :smiling face with smiling eyes::smiling face with smiling eyes::heart suit::thumbs up:,0
